keys,en,en_XA
verb.look,Look,[~~Look~~]
verb.take,Take,[~~Take~~]
verb.open,Open,[~~Open~~]
verb.close,Close,[~~Close~~]
verb.use,Use,[~~Use~~]
verb.talk,Speak,[~~Speak~~]
verb.read,Read,[~~Read~~]
verb.sit,Rest,[~~Rest~~]
verb.climb,Climb,[~~Climb~~]
verb.enter,Enter,[~~Enter~~]
verb.harvest,Gather,[~~Gather~~]
verb.light,Light,[~~Light~~]
refusal.none,,
refusal.locked,It will not budge. Something holds it shut.,[~~It will not budge. Something holds it shut.~~]
refusal.missing_item,You need the {item}.,[~~You need the {item}.~~]
refusal.missing_skill,You do not know how.,[~~You do not know how.~~]
refusal.wrong_time,Not at this hour.,[~~Not at this hour.~~]
refusal.already_done,Already done.,[~~Already done.~~]
refusal.hands_full,Your hands are full.,[~~Your hands are full.~~]
refusal.story_gated,Not yet.,[~~Not yet.~~]
refusal.not_grounded,You need both feet on the ground.,[~~You need both feet on the ground.~~]
area.courtyard.name,Rose Courtyard,[~~Rose Courtyard~~]
object.sign.gate.label,Weathered Notice,[~~Weathered Notice~~]
object.sign.gate.text,By order of the garden-keeper: the north gate stays barred until the lantern-lever is thrown. Mind the thorns.,[~~By order of the garden-keeper: the north gate stays barred until the lantern-lever is thrown. Mind the thorns.~~]
object.lever.gate.label,Iron Lever,[~~Iron Lever~~]
object.lever.gate.on,"The lever gives with a heavy clack. Somewhere north, iron shifts.","[~~The lever gives with a heavy clack. Somewhere north, iron shifts.~~]"
object.lever.gate.off,The lever settles back. The sound of iron returns.,[~~The lever settles back. The sound of iron returns.~~]
object.gate.north.label,North Gate,[~~North Gate~~]
object.gate.north.opened,The gate grinds open onto the dark.,[~~The gate grinds open onto the dark.~~]
item.rose_key.name,Rose Key,[~~Rose Key~~]
item.rose_petal.name,Rose Petal,[~~Rose Petal~~]
item.stone_chip.name,Chipped Stone,[~~Chipped Stone~~]
notify.item_taken,Taken: {item},[~~Taken: {item}~~]
notify.container_emptied,You gather everything inside.,[~~You gather everything inside.~~]
object.pickup.rose_key.label,Rose Key,[~~Rose Key~~]
object.chest.courtyard.label,Wicker Chest,[~~Wicker Chest~~]
object.gate.east.label,East Gate,[~~East Gate~~]
object.gate.east.opened,The east gate swings wide.,[~~The east gate swings wide.~~]
object.trigger.dais.text,The rose-scent thickens as you step onto the dais.,[~~The rose-scent thickens as you step onto the dais.~~]
object.bench.courtyard.label,Stone Bench,[~~Stone Bench~~]
object.bench.courtyard.rested,You rest a while. {hours} hours slip past.,[~~You rest a while. {hours} hours slip past.~~]
object.ladder.courtyard.label,Trellis Ladder,[~~Trellis Ladder~~]
ui.hud.clock,Day {day}  |  {time}  |  {phase},[~~Day {day}  |  {time}  |  {phase}~~]
time.phase.dawn,Dawn,[~~Dawn~~]
time.phase.morning,Morning,[~~Morning~~]
